Asset,Binomial,Kupiec,Christoffersen,Conditional Coverage,KS,Elapsed_Time_Sec
TMO,"(0.0836828442030711, True)","(0.06753056991589323, True)","(0.21677151682999474, True)","(0.08770016411245851, True)","(0.9258383968273884, True)",39.86
MMM,"(1.0, True)","(0.8527815607708865, True)","(0.049748320680539804, False)","(0.1433911691855797, True)","(0.6673720186965311, True)",42.0
KO,"(0.675371478442717, True)","(0.5935590422683594, True)","(0.6398607604784312, True)","(0.7773439658153354, True)","(0.6029880202173055, True)",43.12
NEE,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.22648274642286348, True)",38.82
UPS,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.0919587948769971, True)",34.59
EMR,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.5235729544591397, True)",32.4
MSFT,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.18015008846017833, True)","(0.12849050308285548, True)","(0.8740660483311035, True)",38.9
UBER,"(0.2733640590593405, True)","(0.2297588157637397, True)","(0.5668832358380227, True)","(0.4126565474177638, True)","(0.2794578002819491, True)",35.8
ACN,"(0.01979008771299665, False)","(0.015397296034679764, False)","(0.29994628228647147, True)","(0.031041471628836415, False)","(0.36396175286553867, True)",31.19
AMAT,"(0.04197047468106364, False)","(0.033239714429640355, False)","(0.4651953232101522, True)","(0.07939041092050003, True)","(0.6126241409997283, True)",35.11
DE,"(0.1564251471499955, True)","(0.12875801421105537, True)","(0.5318840825846567, True)","(0.25947293370439883, True)","(0.48654641732023496, True)",35.99
